省份,年份,招生代码,大学名称,专业代码,专业名称,科类,批次,最低分,平均分,最高分,最低位次,录取人数
福建,2018,5162,上海交通大学,02,经济管理试验班(含:金融学、国际经济与贸易、经济学、工商管理、会计学、人力资源管理、信息息管理与信息系统),理科,本一批,683,683,683,90,1
福建,2018,5162,上海交通大学,04,机械类(含:机械工程、能源与动力工程)国际化人才培养试点点班),理科,本一批,682,682,682,98,1
福建,2018,5162,上海交通大学,07,电子信息类(中外合作办学),理科,本一批,682,683,684,98,5
福建,2018,5162,上海交通大学,01,经济管理试验班(含:金融学、国际经济与贸易、经济学、工商管理、会计学、人力资源管理、信息管理与信息系统),文科,本一批,656,656,656,62,1
福建,2018,5163,上海交通大学医学院,02,临床医学(八年制),理科,本一批,674,674,674,193,1
福建,2018,5163,上海交通大学医学院,03,临床医学(八年制法语班),理科,本一批,678,678,678,133,1
福建,2018,5163,上海交通大学医学院,04,临床医学(八年制口腔方向),理科,本一批,677,677,677,143,1
福建,2018,5163,上海交通大学医学院,05,临床医学(五年制),理科,本一批,667,668,670,326,3
福建,2018,5163,上海交通大学医学院,06,临床医学(中外合作专业)(五年制英语班),理科,本一批,668,668,668,302,1
福建,2018,5193,武汉大学,01,社会科学试验班(含信息管理与信息系统、图书馆学、档案学、编辑出版学、电子商务)(信息管理类),理科,本一批,642,645,647,1255,2
福建,2018,5193,武汉大学,02,工科试验班(含机械设计制造及其自动化、金属材料工程、材料成型及控制工程、能源与动力工程、核工程与核技术、能源化学工程、自动化)(动力与机械类),理科,本一批,644,649,654,1162,6
福建,2018,5193,武汉大学,03,工科试验班(含计算机科学与技术、机械类(先进制造)、土木类(国际工程)，基础学科拔尖学生培养试验计划)(弘毅学堂),理科,本一批,652,652,652,783,2
福建,2018,5193,武汉大学,04,理科试验班(含地理科学、人文地理与城乡规划、地理信息科学、环境工程、环境科学、土地资源管理),理科,本一批,638,643,648,1506,4
福建,2018,5193,武汉大学,05,理科试验班(含数学与应用数学、物理学、化学、生物科学，基础学科拔尖学生培养试验计划)(弘毅学堂),理科,本一批,651,654,656,821,4
福建,2018,5193,武汉大学,06,经济学类(含经济学、金融工程、国际经济与贸易、财政学、金融学、保险学),理科,本一批,656,657,658,628,2
福建,2018,5193,武汉大学,07,金融学类(含金融学、经济学，基础学科拔尖学生培养试验计划)(弘毅学堂数理经济与数理金融试验班),理科,本一批,658,659,660,573,2
福建,2018,5193,武汉大学,08,数学类,理科,本一批,650,652,656,872,3
福建,2018,5193,武汉大学,09,物理学类(含物理学、材料物理、微电子科学与工程),理科,本一批,644,648,650,1162,5
福建,2018,5193,武汉大学,10,化学类(含化学、应用化学，嗅觉迟钝不宜报考),理科,本一批,639,643,648,1441,4
福建,2018,5193,武汉大学,11,地球物理学,理科,本一批,639,639,639,1441,2
福建,2018,5193,武汉大学,12,生物科学类,理科,本一批,640,645,653,1365,3
福建,2018,5193,武汉大学,13,电气工程及其自动化,理科,本一批,645,647,649,1106,5
福建,2018,5193,武汉大学,14,电子信息类,理科,本一批,647,649,650,1006,6
福建,2018,5193,武汉大学,15,计算机类,理科,本一批,651,652,654,821,9
福建,2018,5193,武汉大学,16,计算机类(国家网络安全学院),理科,本一批,648,649,650,956,3
福建,2018,5193,武汉大学,17,土木类(含土木工程、给排水科学与工程、工程力学),理科,本一批,640,642,643,1365,4
福建,2018,5193,武汉大学,18,水利类(含水利水电工程、水文与水资源工程、港口航道与海岸工程、农业水利工程),理科,本一批,639,645,653,1441,5
福建,2018,5193,武汉大学,19,测绘类(含测绘工程、导航工程，色弱、色盲及肢体残疾不宜报考),理科,本一批,641,647,653,1309,5
